date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/1/2015,0,2,3,8,0.9745869705631307,26.16,0.09326680226472994,7080,1.25970129051022,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,59.0,0.940725424
1/1/2015,0,1,3,1,-0.07549961875831487,3.94,0.23783672500679165,960,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.8865
1/1/2015,0,2,3,11,0.9745869705631307,11.41,-0.1730482926541738,3660,0.9890839362127986,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,30.5,0.800570492
1/1/2015,0,2,3,12,0.9745869705631307,11.41,-0.1730482926541738,3660,0.9890839362127986,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,30.5,0.800570492
1/1/2015,0,2,3,6,0.9745869705631307,25.9,0.20271907157921815,1920,0.9890839362127986,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,56.0,0.800381944
1/1/2015,0,2,3,7,0.9745869705631307,25.9,-0.14112003064575876,6720,0.8751323933214639,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,56.0,0.800125
1/1/2015,0,1,3,2,-0.07549961875831487,3.94,0.23783672500679165,960,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.755166667
1/1/2015,0,2,3,3,-0.07549961875831487,28.08,-0.548216891442027,6900,0.9455677019321045,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,57.5,0.753683478
1/1/2015,0,2,3,2,-0.07549961875831487,19.87,-0.6985638387527876,6000,0.8284097417689565,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,55.0,0.753097531
1/1/2015,0,2,3,1,-0.07549961875831487,28.08,-0.8326610073774672,6900,0.9455677019321045,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,57.5,0.750427826
1/1/2015,0,2,3,9,-0.7810256229139316,28.08,-0.37395178412382607,6900,0.9362480047114821,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,57.5,0.721126957
1/1/2015,0,2,3,10,-0.07549961875831487,19.31,-1.1243003843545718,6480,0.9455677019321045,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,54.0,0.712205247
1/1/2015,0,2,3,5,0.9745869705631307,11.41,-0.8674514275218991,3660,0.9890839362127986,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,30.5,0.707045902
1/1/2015,0,1,3,10,-1.2495473468233032,3.94,0.23783672500679165,960,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.705916667
1/1/2015,0,1,3,8,-0.07549961875831487,2.9,0.23783672500679165,960,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.676666667
1/1/2015,0,1,3,4,-0.07549961875831487,3.94,0.23783672500679165,2160,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,18.0,0.593055556
1/1/2015,0,1,3,7,0.9745869705631307,2.9,0.23783672500679165,960,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.540729167
1/1/2015,0,2,3,4,-1.2495473468233032,23.69,-0.3980786791596313,7200,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,60.0,0.52118
1/1/2015,0,0,3,11,-0.7810256229139316,4.15,0.23783672500679165,1440,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,12.0,0.436326389
1/3/2015,0,1,1,4,0.9745869705631307,4.15,0.23783672500679165,6600,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,20.0,0.988024691
1/3/2015,0,1,1,11,-0.07549961875831487,2.9,0.23783672500679165,5640,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,17.0,0.987880435
1/3/2015,0,1,1,9,0.9745869705631307,4.15,0.23783672500679165,960,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.956270833
1/3/2015,0,1,1,3,-0.07549961875831487,3.94,0.23783672500679165,1560,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.945277778
1/3/2015,0,1,1,1,0.9745869705631307,3.94,0.23783672500679165,960,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.902916667
1/3/2015,0,2,1,1,0.9745869705631307,28.08,-0.6028668171914571,6300,0.9890839362127986,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,56.5,0.800725314
1/3/2015,0,2,1,3,0.9745869705631307,28.08,-0.2861014573979325,6540,0.9890839362127986,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,54.5,0.800322936
1/3/2015,0,2,1,8,0.9745869705631307,26.16,0.355303461316234,7080,0.9890839362127986,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,59.0,0.800318644
1/3/2015,0,2,1,12,0.9745869705631307,26.16,-0.4358518253625726,7080,1.0834801753117647,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,59.0,0.800318644
1/3/2015,0,2,1,11,0.9745869705631307,11.61,-0.0998342712893905,7080,0.9890839362127986,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,29.5,0.800237288
1/3/2015,0,2,1,5,0.9745869705631307,11.61,-0.8918533822582865,7080,0.9890839362127986,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,31.5,0.800148649
1/3/2015,0,2,1,6,0.9745869705631307,25.9,0.17142705645961925,6720,0.9890839362127986,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,56.0,0.800125
1/3/2015,0,2,1,7,0.9745869705631307,25.9,0.1468191036247044,6720,0.8751323933214639,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,56.0,0.800125
1/3/2015,0,2,1,10,-0.07549961875831487,19.31,-1.0295550344880962,6480,1.0355570481277037,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,54.0,0.787299691
1/3/2015,0,1,1,2,0.9745869705631307,4.15,0.23783672500679165,960,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.782447917
1/3/2015,0,2,1,2,-0.07549961875831487,19.87,-0.22173602330120787,6600,0.9455677019321045,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,55.0,0.75024303
1/3/2015,0,1,1,10,-0.7810256229139316,4.15,0.23783672500679165,960,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.7018125
1/3/2015,0,2,1,4,-0.7810256229139316,23.69,-1.2296454415715306,13800,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,60.0,0.700134038
1/3/2015,0,2,1,9,-0.7810256229139316,28.08,0.027461447397242943,6900,0.8965772252683996,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,57.5,0.699965217
1/3/2015,0,1,1,8,0.9745869705631307,2.9,0.23783672500679165,960,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.628333333
1/3/2015,0,1,1,7,0.9745869705631307,3.94,0.23783672500679165,960,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.6253125
1/4/2015,0,1,2,3,-0.07549961875831487,4.15,0.23783672500679165,1560,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.991388889
1/4/2015,0,1,2,9,0.9745869705631307,3.94,0.23783672500679165,960,-0.9783536961791398,-0.1235604126430431,-0.12356041264304309,-0.3741657171882538,8.0,0.931645833
